# DSC deconvolution: T (C), smoothed signal, baseline, components (mW/mg).
T_C_1K,DSC_smoothed_1K,baseline_1K,FS_sum_1K,central_1K,shoulder_1K,T_C_3K,DSC_smoothed_3K,baseline_3K,FS_sum_3K,central_3K,shoulder_3K,T_C_5K,DSC_smoothed_5K,baseline_5K,FS_sum_5K,central_5K,shoulder_5K
332.624,-0.708342,-0.716339,-0.698357,-0.698371,-0.716326,345.494,-0.339519,-0.36464,-0.308212,-0.308214,-0.364638,351.576,0.0399511,-0.000277241,0.0939717,0.0939694,-0.00027487
332.649,-0.708306,-0.7164,-0.698342,-0.698356,-0.716387,345.52,-0.339276,-0.364833,-0.308146,-0.308148,-0.364831,351.604,0.0403367,-0.000623928,0.0940942,0.0940918,-0.000621527
332.674,-0.708293,-0.716461,-0.698327,-0.698341,-0.716447,345.545,-0.339039,-0.365025,-0.308079,-0.308081,-0.365023,351.631,0.0407814,-0.000970614,0.094219,0.0942165,-0.000968183
332.699,-0.708254,-0.716522,-0.698311,-0.698325,-0.716508,345.571,-0.338791,-0.365218,-0.30801,-0.308012,-0.365216,351.659,0.0412247,-0.0013173,0.0943461,0.0943436,-0.00131484
332.724,-0.708212,-0.716583,-0.698295,-0.698309,-0.716569,345.596,-0.338559,-0.365411,-0.30794,-0.307943,-0.365408,351.686,0.0416537,-0.00166399,0.0944756,0.0944731,-0.0016615
332.749,-0.70817,-0.716644,-0.698278,-0.698292,-0.71663,345.622,-0.338318,-0.365603,-0.30787,-0.307872,-0.365601,351.713,0.0420826,-0.00201067,0.0946075,0.094605,-0.00200815
332.774,-0.708168,-0.716705,-0.698261,-0.698276,-0.716691,345.647,-0.338051,-0.365796,-0.307797,-0.3078,-0.365794,351.741,0.0425302,-0.00235761,0.0947419,0.0947393,-0.00235506
332.799,-0.70814,-0.716766,-0.698244,-0.698259,-0.716752,345.673,-0.337794,-0.365988,-0.307724,-0.307726,-0.365986,351.768,0.0430087,-0.0027043,0.0948785,0.0948759,-0.00270171
332.824,-0.708091,-0.716827,-0.698227,-0.698241,-0.716813,345.698,-0.337536,-0.366181,-0.30765,-0.307652,-0.366179,351.796,0.0434733,-0.00305098,0.0950176,0.095015,-0.00304837
332.849,-0.708044,-0.716888,-0.698209,-0.698224,-0.716873,345.724,-0.337279,-0.366374,-0.307574,-0.307576,-0.366371,351.823,0.0439446,-0.0033978,0.0951592,0.0951566,-0.00339515
332.874,-0.708008,-0.716949,-0.698191,-0.698206,-0.716934,345.749,-0.337013,-0.366566,-0.307497,-0.307499,-0.366564,351.851,0.0444438,-0.00374461,0.0953032,0.0953005,-0.00374193
332.899,-0.707984,-0.71701,-0.698172,-0.698187,-0.716995,345.775,-0.336737,-0.366759,-0.307418,-0.307421,-0.366757,351.878,0.0449575,-0.00409142,0.0954497,0.095447,-0.00408871
332.924,-0.707953,-0.717071,-0.698153,-0.698168,-0.717056,345.8,-0.336477,-0.366951,-0.307339,-0.307341,-0.366949,351.906,0.0454975,-0.00443811,0.0955985,0.0955958,-0.00443536
332.949,-0.707954,-0.717132,-0.698134,-0.698149,-0.717117,345.826,-0.336255,-0.367144,-0.307258,-0.307261,-0.367142,351.933,0.0460485,-0.00478517,0.0957501,0.0957473,-0.00478239
