# Forward reconstruction (consistency check), model F1: E=337 kJ/mol, lnA=43.7. T (C), alpha experimental and modelled for each beta.
T_C_1K,alpha_exp_1K,alpha_model_1K,T_C_3K,alpha_exp_3K,alpha_model_3K,T_C_5K,alpha_exp_5K,alpha_model_5K
513.735,0.0762901,0.114992,527.407,0.0615548,0.104871,531.227,0.0606696,0.0777198
513.774,0.0768221,0.11583,527.452,0.0619156,0.105656,531.269,0.0610391,0.078303
513.813,0.0773566,0.116669,527.497,0.0622778,0.106442,531.312,0.0614103,0.0788873
513.852,0.0778938,0.117509,527.542,0.0626417,0.107231,531.354,0.0617833,0.0794729
513.891,0.0784331,0.11835,527.587,0.0630068,0.108021,531.397,0.0621579,0.0800597
513.93,0.0789742,0.119193,527.632,0.0633733,0.108812,531.439,0.0625341,0.0806476
513.969,0.079517,0.120037,527.677,0.0637417,0.109605,531.482,0.062912,0.0812368
514.008,0.0800621,0.120883,527.722,0.0641117,0.110399,531.524,0.0632916,0.0818271
514.047,0.0806094,0.121731,527.767,0.0644835,0.111196,531.567,0.0636726,0.0824183
514.087,0.0811589,0.12258,527.812,0.0648569,0.111993,531.609,0.0640552,0.0830104
514.126,0.0817103,0.12343,527.857,0.0652327,0.112793,531.652,0.0644398,0.0836039
514.165,0.0822639,0.124282,527.902,0.0656104,0.113594,531.694,0.0648261,0.0841984
514.204,0.0828195,0.125136,527.947,0.0659901,0.114396,531.737,0.0652143,0.084794
514.243,0.0833766,0.125991,527.992,0.066372,0.1152,531.779,0.0656043,0.0853908
514.282,0.0839344,0.126846,528.037,0.0667557,0.116006,531.822,0.0659965,0.0859892
514.321,0.0844939,0.127703,528.082,0.0671417,0.116813,531.864,0.0663907,0.0865889
514.36,0.0850553,0.128561,528.127,0.0675295,0.117622,531.907,0.0667865,0.0871893
514.399,0.0856186,0.12942,528.172,0.0679195,0.118432,531.949,0.0671844,0.0877911
514.438,0.0861833,0.130281,528.217,0.0683116,0.119244,531.992,0.0675842,0.088394
514.477,0.0867499,0.131143,528.262,0.0687058,0.120057,532.034,0.0679861,0.088998
514.516,0.0873178,0.132006,528.307,0.0691021,0.120871,532.077,0.0683906,0.089604
514.555,0.0878876,0.13287,528.352,0.0695002,0.121687,532.119,0.0687968,0.0902107
514.594,0.0884593,0.133736,528.397,0.0699006,0.122505,532.162,0.0692051,0.0908188
514.633,0.0890331,0.134603,528.442,0.070303,0.123324,532.204,0.0696155,0.0914283
514.672,0.0896087,0.135471,528.487,0.0707075,0.124146,532.247,0.0700281,0.0920391
514.711,0.0901866,0.136341,528.532,0.0711136,0.124968,532.289,0.0704427,0.0926511
514.75,0.0907668,0.137212,528.577,0.0715216,0.125793,532.332,0.0708597,0.0932649
514.789,0.0913489,0.138084,528.622,0.0719312,0.126618,532.375,0.0712786,0.09388
514.828,0.0919331,0.138958,528.667,0.0723425,0.127445,532.417,0.0716993,0.0944959
514.867,0.0925191,0.139832,528.712,0.0727554,0.128274,532.46,0.0721223,0.0951134
514.906,0.0931075,0.140709,528.757,0.0731698,0.129104,532.502,0.0725472,0.0957319
514.945,0.0936984,0.141586,528.802,0.0735855,0.129936,532.545,0.0729744,0.096352
514.984,0.0942914,0.142465,528.847,0.0740021,0.130769,532.587,0.0734036,0.0969731
515.023,0.0948868,0.143345,528.892,0.07442,0.131604,532.63,0.0738349,0.0975956
515.062,0.0954848,0.144226,528.937,0.0748393,0.13244,532.673,0.0742678,0.0982189
515.101,0.0960855,0.145109,528.982,0.0752594,0.133278,532.715,0.0747028,0.0988435
515.14,0.0966896,0.145993,529.027,0.0756806,0.134116,532.758,0.0751395,0.0994693
515.179,0.0972963,0.146878,529.072,0.0761029,0.134957,532.8,0.0755779,0.100096
515.218,0.0979057,0.147764,529.117,0.0765263,0.135798,532.843,0.0760182,0.100724
515.257,0.0985184,0.148651,529.162,0.0769514,0.136642,532.885,0.0764603,0.101353
515.296,0.0991346,0.14954,529.207,0.0773781,0.137488,532.928,0.0769042,0.101984
515.335,0.099754,0.150431,529.252,0.0778062,0.138335,532.97,0.0773496,0.102615
515.374,0.100376,0.151322,529.297,0.0782356,0.139183,533.013,0.0777966,0.103247
515.413,0.101001,0.152214,529.342,0.0786664,0.140033,533.055,0.0782456,0.103881
515.452,0.10163,0.153108,529.387,0.0790988,0.140885,533.098,0.0786963,0.104515
