# Conversion and rate: T (C), alpha (-), dalpha/dt (1/s) for each beta.
T_C_1K,alpha_1K,rate_dadt_1/s_1K,T_C_3K,alpha_3K,rate_dadt_1/s_3K,T_C_5K,alpha_5K,rate_dadt_1/s_5K
505.818,0.0116728,6.85769e-05,514.718,0.00508042,8.34656e-05,518.352,0.00412445,0.000121078
505.857,0.0118337,6.88703e-05,514.763,0.0051558,8.42327e-05,518.394,0.00418654,0.000122257
505.896,0.0119954,6.91126e-05,514.807,0.00523189,8.49686e-05,518.437,0.00424921,0.000123338
505.935,0.0121577,6.9546e-05,514.852,0.00530868,8.57749e-05,518.479,0.00431241,0.000124334
505.974,0.0123208,6.96982e-05,514.897,0.00538624,8.66659e-05,518.522,0.00437614,0.000125344
506.013,0.0124843,6.99273e-05,514.942,0.00546457,8.74685e-05,518.564,0.00444038,0.000126395
506.052,0.0126486,7.03715e-05,514.987,0.00554367,8.8397e-05,518.607,0.00450521,0.000127521
506.091,0.0128137,7.0699e-05,515.032,0.00562363,8.94046e-05,518.649,0.00457057,0.000128561
506.13,0.0129798,7.11672e-05,515.077,0.00570457,9.05761e-05,518.692,0.00463646,0.000129596
506.17,0.0131472,7.17525e-05,515.122,0.00578646,9.15377e-05,518.735,0.00470291,0.00013076
506.209,0.0133159,7.23063e-05,515.167,0.00586931,9.2695e-05,518.777,0.00476995,0.000131932
506.248,0.0134858,7.28564e-05,515.212,0.0059532,9.38911e-05,518.82,0.00483761,0.000133087
506.287,0.0136568,7.32386e-05,515.257,0.0060382,9.49463e-05,518.862,0.00490584,0.000134185
506.326,0.0138287,7.36463e-05,515.302,0.00612404,9.58988e-05,518.905,0.00497463,0.000135276
506.365,0.0140014,7.39895e-05,515.347,0.00621082,9.68993e-05,518.947,0.00504395,0.000136379
506.404,0.0141748,7.42504e-05,515.392,0.00629846,9.78221e-05,518.99,0.0051139,0.000137588
506.443,0.0143493,7.49479e-05,515.437,0.00638685,9.86763e-05,519.032,0.00518451,0.000138986
506.482,0.0145252,7.53395e-05,515.482,0.00647601,9.95093e-05,519.075,0.00525585,0.000140467
506.521,0.0147022,7.59584e-05,515.527,0.00656589,0.000100273,519.117,0.00532795,0.000141957
506.56,0.0148806,7.64656e-05,515.572,0.00665647,0.00010102,519.16,0.00540082,0.000143532
506.599,0.0150601,7.69221e-05,515.617,0.00674771,0.00010168,519.202,0.0054745,0.000145118
506.638,0.0152406,7.74709e-05,515.662,0.00683948,0.000102308,519.245,0.00554902,0.000146766
506.677,0.0154224,7.8038e-05,515.707,0.00693185,0.000102858,519.288,0.00562436,0.000148415
506.716,0.0156056,7.85516e-05,515.752,0.00702467,0.000103373,519.33,0.00570054,0.000149971
506.755,0.0157903,7.93317e-05,515.797,0.00711785,0.000103727,519.373,0.00577747,0.00015146
506.794,0.0159766,7.98927e-05,515.842,0.00721139,0.000104142,519.415,0.00585515,0.000152952
506.833,0.0161641,8.0432e-05,515.887,0.00730531,0.000104621,519.458,0.0059336,0.000154483
506.872,0.0163529,8.09321e-05,515.932,0.00739969,0.000105101,519.5,0.00601283,0.000155992
506.911,0.0165431,8.158e-05,515.977,0.00749455,0.000105607,519.543,0.0060928,0.000157608
506.95,0.0167351,8.23865e-05,516.022,0.00758989,0.000106071,519.585,0.00617362,0.000159281
506.989,0.0169289,8.31226e-05,516.067,0.00768568,0.000106603,519.628,0.00625531,0.000160902
507.028,0.0171244,8.38036e-05,516.112,0.00778193,0.000107159,519.67,0.00633785,0.00016249
507.067,0.0173211,8.41906e-05,516.157,0.00787863,0.000107763,519.713,0.0064211,0.000163955
507.106,0.0175188,8.4674e-05,516.202,0.00797589,0.00010834,519.755,0.00650508,0.000165305
507.145,0.0177177,8.51826e-05,516.247,0.00807376,0.000109035,519.798,0.00658975,0.000166577
507.184,0.0179176,8.56049e-05,516.292,0.00817223,0.000109709,519.84,0.00667506,0.00016784
507.223,0.0181188,8.62452e-05,516.337,0.00827125,0.000110276,519.883,0.006761,0.00016902
507.262,0.0183214,8.68459e-05,516.382,0.00837076,0.000110863,519.925,0.00684753,0.000170161
507.301,0.0185255,8.74086e-05,516.427,0.00847086,0.000111435,519.968,0.00693459,0.000171231
507.34,0.018731,8.81471e-05,516.472,0.00857143,0.000112046,520.01,0.00702223,0.000172216
507.379,0.018938,8.87687e-05,516.517,0.00867249,0.000112588,520.053,0.00711036,0.000173216
507.418,0.0191462,8.92666e-05,516.562,0.00877404,0.00011308,520.095,0.00719897,0.000174282
507.457,0.0193555,8.96587e-05,516.607,0.00887604,0.000113622,520.138,0.0072881,0.00017516
507.496,0.0195658,9.01202e-05,516.652,0.00897855,0.000114247,520.18,0.00737765,0.000176028
507.535,0.0197772,9.06206e-05,516.697,0.00908162,0.000114885,520.223,0.00746766,0.000176949
507.574,0.0199898,9.10762e-05,516.742,0.00918535,0.000115576,520.265,0.0075581,0.000177803
507.613,0.0202035,9.16641e-05,516.787,0.00928974,0.000116461,520.308,0.00764901,0.00017856
507.652,0.0204185,9.22856e-05,516.832,0.00939484,0.000117296,520.351,0.00774027,0.000179292
507.691,0.0206354,9.31796e-05,516.877,0.00950075,0.000118109,520.393,0.00783187,0.000180006
507.73,0.0208543,9.39219e-05,516.922,0.00960731,0.000118791,520.435,0.00792376,0.000180717
507.769,0.021075,9.48222e-05,516.967,0.00971453,0.000119643,520.478,0.00801604,0.000181331
507.808,0.0212975,9.54445e-05,517.012,0.00982243,0.000120241,520.52,0.0081086,0.000182075
507.847,0.0215212,9.59339e-05,517.057,0.00993094,0.000120898,520.563,0.00820158,0.000182877
507.886,0.0217461,9.64433e-05,517.102,0.01004,0.000121604,520.605,0.00829492,0.000183609
507.925,0.021972,9.69249e-05,517.147,0.0101497,0.000122303,520.648,0.00838869,0.000184453
507.963,0.0221993,9.75537e-05,517.192,0.0102602,0.000122977,520.69,0.00848295,0.000185377
508.002,0.0224281,9.8344e-05,517.237,0.0103711,0.000123686,520.733,0.00857766,0.000186386
508.041,0.0226587,9.89675e-05,517.282,0.0104827,0.000124402,520.775,0.00867286,0.000187474
508.08,0.022891,9.98812e-05,517.327,0.010595,0.000125177,520.818,0.00876863,0.000188642
508.119,0.0231254,0.000100675,517.372,0.010708,0.000126006,520.86,0.00886502,0.000189871
508.158,0.0233618,0.000101455,517.417,0.0108218,0.000126934,520.902,0.00896205,0.000191099
508.197,0.0236002,0.000102324,517.462,0.0109363,0.000127825,520.945,0.00905966,0.000192301
508.236,0.0238405,0.000103126,517.507,0.0110518,0.00012881,520.987,0.00915788,0.000193326
508.275,0.0240827,0.000103913,517.552,0.0111682,0.000129763,521.03,0.00925666,0.000194319
508.314,0.0243267,0.000104792,517.597,0.0112854,0.000130764,521.072,0.00935593,0.000195458
508.353,0.0245725,0.000105249,517.642,0.0114036,0.000131844,521.115,0.0094559,0.000196749
508.392,0.0248198,0.000106002,517.687,0.0115226,0.000132853,521.157,0.00955645,0.000198143
508.431,0.0250689,0.000106708,517.732,0.0116426,0.00013381,521.2,0.0096578,0.000199576
508.47,0.02532,0.000107667,517.777,0.0117635,0.0001348,521.242,0.00975985,0.000200976
508.509,0.025573,0.00010849,517.822,0.0118853,0.000135798,521.285,0.00986258,0.000202395
508.548,0.0258279,0.000109301,517.867,0.012008,0.000136799,521.327,0.00996604,0.000203873
508.587,0.0260847,0.000110034,517.912,0.0121316,0.000137699,521.369,0.0100703,0.000205246
508.626,0.026343,0.000110687,517.957,0.0122559,0.000138482,521.412,0.0101752,0.000206582
508.665,0.0266031,0.000111578,518.002,0.012381,0.000139432,521.454,0.0102809,0.000208023
508.704,0.0268652,0.000112412,518.047,0.0125069,0.000140498,521.497,0.0103873,0.000209501
508.743,0.027129,0.000113199,518.092,0.0126337,0.000141402,521.539,0.0104944,0.000210989
508.782,0.0273949,0.000114151,518.137,0.0127614,0.00014233,521.582,0.0106024,0.000212462
508.821,0.0276633,0.00011529,518.182,0.0128899,0.000143184,521.624,0.0107111,0.000214066
508.86,0.027934,0.000116159,518.227,0.0130192,0.000144157,521.667,0.0108206,0.000215675
508.899,0.0282066,0.000117035,518.272,0.0131493,0.000145112,521.709,0.0109309,0.00021728
508.938,0.0284809,0.000117671,518.317,0.0132803,0.00014607,521.752,0.011042,0.000218807
508.977,0.0287569,0.000118513,518.362,0.0134122,0.000147117,521.794,0.0111539,0.000220139
509.016,0.0290348,0.00011923,518.407,0.0135451,0.000148314,521.837,0.0112664,0.000221486
509.055,0.0293144,0.000119862,518.452,0.0136792,0.00014945,521.879,0.0113796,0.000222915
509.094,0.0295955,0.000120456,518.497,0.0138142,0.000150607,521.922,0.0114936,0.000224277
509.133,0.0298778,0.000120867,518.542,0.0139502,0.000151584,521.964,0.0116083,0.000225587
509.172,0.0301615,0.000121564,518.587,0.014087,0.000152431,522.007,0.0117236,0.000226837
509.211,0.0304468,0.000122225,518.632,0.0142246,0.000153287,522.049,0.0118395,0.000228169
509.25,0.0307333,0.000122711,518.677,0.014363,0.000154222,522.091,0.0119561,0.000229472
509.289,0.0310209,0.000123174,518.722,0.014502,0.000154972,522.134,0.0120733,0.000230843
509.328,0.0313097,0.000123687,518.767,0.0146419,0.000155806,522.176,0.0121913,0.000232198
509.367,0.0315995,0.000123949,518.812,0.0147823,0.000156476,522.219,0.0123099,0.000233561
509.406,0.0318907,0.000124548,518.857,0.0149235,0.000157382,522.261,0.0124294,0.000234909
509.445,0.0321832,0.000125111,518.902,0.0150655,0.000158282,522.304,0.0125494,0.000236253
509.484,0.0324771,0.000125734,518.947,0.0152082,0.000159095,522.346,0.0126701,0.000237806
509.523,0.0327727,0.000126492,518.992,0.0153517,0.000160013,522.389,0.0127917,0.000239282
509.562,0.03307,0.000127227,519.037,0.015496,0.000161044,522.431,0.0129141,0.000240824
509.602,0.033369,0.000127948,519.082,0.0156411,0.000161986,522.474,0.0130372,0.000242417
509.641,0.03367,0.000128731,519.127,0.0157872,0.000162909,522.516,0.0131613,0.000243748
509.68,0.0339723,0.000129385,519.172,0.015934,0.00016379,522.559,0.0132859,0.000245124
509.719,0.0342759,0.000129819,519.217,0.0160816,0.000164707,522.601,0.0134113,0.000246447
509.758,0.0345804,0.000130265,519.262,0.0162301,0.000165549,522.644,0.0135373,0.000247812
509.797,0.034886,0.000130715,519.307,0.0163793,0.000166421,522.686,0.0136641,0.000249295
509.836,0.0351929,0.000131349,519.352,0.0165295,0.000167309,522.729,0.0137918,0.000250936
509.875,0.035501,0.000131798,519.397,0.0166803,0.000168192,522.771,0.0139203,0.000252653
509.914,0.0358101,0.000132158,519.442,0.016832,0.000168996,522.814,0.0140497,0.000254248
509.953,0.0361207,0.00013301,519.487,0.0169845,0.00016969,522.856,0.0141798,0.00025578
509.992,0.0364333,0.000133761,519.532,0.0171374,0.000170166,522.899,0.0143108,0.000257306
510.031,0.0367477,0.00013456,519.577,0.0172907,0.000170461,522.941,0.0144424,0.000258824
510.07,0.037064,0.000135382,519.622,0.0174444,0.000170859,522.984,0.0145748,0.000260522
