# Conversion and rate: T (C), alpha (-), dalpha/dt (1/s) for each beta.
T_C_1K,alpha_1K,rate_dadt_1/s_1K,T_C_3K,alpha_3K,rate_dadt_1/s_3K,T_C_5K,alpha_5K,rate_dadt_1/s_5K
310.743,0.00046699,2.18071e-06,323.296,0.000485917,7.20174e-06,329.192,0.000448834,1.11594e-05
310.777,0.000471441,2.19173e-06,323.328,0.000490551,7.23819e-06,329.224,0.00045311,1.12157e-05
310.81,0.000475915,2.2028e-06,323.36,0.000495209,7.27483e-06,329.256,0.000457407,1.12723e-05
310.844,0.000480411,2.21394e-06,323.392,0.000499891,7.31166e-06,329.288,0.000461726,1.13291e-05
310.878,0.00048493,2.22513e-06,323.424,0.000504596,7.3487e-06,329.32,0.000466066,1.13863e-05
310.912,0.000489472,2.23638e-06,323.456,0.000509326,7.38593e-06,329.352,0.000470428,1.14437e-05
310.946,0.000494037,2.24769e-06,323.489,0.000514079,7.42335e-06,329.383,0.000474813,1.15015e-05
310.98,0.000498625,2.25906e-06,323.521,0.000518856,7.46098e-06,329.415,0.000479219,1.15596e-05
311.014,0.000503236,2.27049e-06,323.553,0.000523657,7.4988e-06,329.447,0.000483648,1.16179e-05
311.048,0.00050787,2.28198e-06,323.585,0.000528483,7.53683e-06,329.479,0.000488099,1.16766e-05
311.082,0.000512528,2.29353e-06,323.617,0.000533333,7.57506e-06,329.511,0.000492573,1.17356e-05
311.116,0.00051721,2.30515e-06,323.649,0.000538208,7.61349e-06,329.543,0.000497069,1.17949e-05
311.15,0.000521915,2.31682e-06,323.681,0.000543108,7.65212e-06,329.575,0.000501588,1.18546e-05
311.184,0.000526644,2.32856e-06,323.713,0.000548032,7.69096e-06,329.606,0.00050613,1.19145e-05
311.218,0.000531397,2.34036e-06,323.745,0.000552982,7.73001e-06,329.638,0.000510695,1.19748e-05
311.252,0.000536174,2.35222e-06,323.777,0.000557956,7.76927e-06,329.67,0.000515283,1.20353e-05
311.286,0.000540976,2.36414e-06,323.81,0.000562956,7.80873e-06,329.702,0.000519894,1.20962e-05
311.319,0.000545801,2.37613e-06,323.842,0.000567981,7.84841e-06,329.734,0.000524528,1.21574e-05
311.353,0.000550652,2.38819e-06,323.874,0.000573032,7.88829e-06,329.766,0.000529186,1.2219e-05
311.387,0.000555526,2.4003e-06,323.906,0.000578109,7.92839e-06,329.797,0.000533868,1.22809e-05
311.421,0.000560426,2.41248e-06,323.938,0.000583211,7.9687e-06,329.829,0.000538573,1.23431e-05
311.455,0.00056535,2.42473e-06,323.97,0.000588339,8.00923e-06,329.861,0.000543302,1.24056e-05
311.489,0.0005703,2.43704e-06,324.002,0.000593494,8.04997e-06,329.893,0.000548055,1.24685e-05
311.523,0.000575274,2.44941e-06,324.034,0.000598674,8.09093e-06,329.925,0.000552832,1.25317e-05
311.557,0.000580274,2.46186e-06,324.066,0.000603881,8.13211e-06,329.957,0.000557633,1.25952e-05
311.591,0.000585299,2.47436e-06,324.098,0.000609114,8.17351e-06,329.989,0.000562459,1.26591e-05
311.625,0.00059035,2.48694e-06,324.131,0.000614374,8.21512e-06,330.02,0.000567309,1.27233e-05
311.659,0.000595426,2.49958e-06,324.163,0.000619661,8.25697e-06,330.052,0.000572184,1.27878e-05
311.693,0.000600528,2.51229e-06,324.195,0.000624975,8.29903e-06,330.084,0.000577083,1.28527e-05
311.727,0.000605657,2.52507e-06,324.227,0.000630316,8.34132e-06,330.116,0.000582007,1.2918e-05
311.761,0.000610811,2.53791e-06,324.259,0.000635684,8.38383e-06,330.148,0.000586957,1.29835e-05
