# Criado master-plot: y(alpha) of 15 theoretical models (common grid) and experiment by beta. Selected model: R3.
alpha_theory,y_F1,y_F2,y_F3,y_D1,y_D2,y_D3,y_D4,y_R2,y_R3,y_P2,y_P3,y_P4,y_A2,y_A3,y_A4,alpha_exp_1K,y_exp_1K,alpha_exp_3K,y_exp_3K,alpha_exp_5K,y_exp_5K
0.405,0.891356,0.9639,1.02495,0.81,0.83604,0.86504,0.846205,0.851553,0.86504,0.81,0.81,0.81,0.891356,0.891356,0.891356,,,,,,
0.41,0.898232,0.9676,1.02566,0.82,0.845077,0.872975,0.854865,0.860013,0.872975,0.82,0.82,0.82,0.898232,0.898232,0.898232,,,,,,
0.415,0.904985,0.9711,1.02613,0.83,0.854071,0.880824,0.863466,0.868407,0.880824,0.83,0.83,0.83,0.904985,0.904985,0.904985,,,,,,
0.42,0.911615,0.9744,1.02637,0.84,0.863024,0.888586,0.872009,0.876733,0.888586,0.84,0.84,0.84,0.911615,0.911615,0.911615,,,,,,
0.425,0.918121,0.9775,1.02638,0.85,0.871933,0.896259,0.880492,0.884991,0.896259,0.85,0.85,0.85,0.918121,0.918121,0.918121,,,,,,
0.43,0.924501,0.9804,1.02615,0.86,0.880799,0.903843,0.888914,0.893179,0.903843,0.86,0.86,0.86,0.924501,0.924501,0.924501,,,,,,
0.435,0.930755,0.9831,1.0257,0.87,0.889621,0.911336,0.897276,0.901297,0.911336,0.87,0.87,0.87,0.930755,0.930755,0.930755,,,,,,
0.44,0.936881,0.9856,1.02502,0.88,0.898398,0.918738,0.905575,0.909345,0.918738,0.88,0.88,0.88,0.936881,0.936881,0.936881,,,,,,
0.445,0.942879,0.9879,1.02412,0.89,0.90713,0.926047,0.913811,0.91732,0.926047,0.89,0.89,0.89,0.942879,0.942879,0.942879,,,,,,
0.45,0.948746,0.99,1.023,0.9,0.915816,0.933263,0.921984,0.925222,0.933263,0.9,0.9,0.9,0.948746,0.948746,0.948746,,,,,,
0.455,0.954482,0.9919,1.02166,0.91,0.924455,0.940384,0.930092,0.933051,0.940384,0.91,0.91,0.91,0.954482,0.954482,0.954482,,,,,,
0.46,0.960086,0.9936,1.0201,0.92,0.933047,0.947408,0.938134,0.940804,0.947408,0.92,0.92,0.92,0.960086,0.960086,0.960086,,,,,,
0.465,0.965556,0.9951,1.01832,0.93,0.941591,0.954336,0.94611,0.948481,0.954336,0.93,0.93,0.93,0.965556,0.965556,0.965556,,,,,,
0.47,0.970892,0.9964,1.01633,0.94,0.950087,0.961165,0.954019,0.956082,0.961165,0.94,0.94,0.94,0.970892,0.970892,0.970892,,,,,,
0.475,0.976091,0.9975,1.01412,0.95,0.958533,0.967894,0.961859,0.963604,0.967894,0.95,0.95,0.95,0.976091,0.976091,0.976091,,,,,,
0.48,0.981153,0.9984,1.01171,0.96,0.96693,0.974522,0.96963,0.971046,0.974522,0.96,0.96,0.96,0.981153,0.981153,0.981153,,,,,,
0.485,0.986076,0.9991,1.00909,0.97,0.975275,0.981048,0.977331,0.978408,0.981048,0.97,0.97,0.97,0.986076,0.986076,0.986076,,,,,,
0.49,0.990859,0.9996,1.00626,0.98,0.983569,0.987471,0.98496,0.985689,0.987471,0.98,0.98,0.98,0.990859,0.990859,0.990859,,,,,,
0.495,0.995501,0.9999,1.00323,0.99,0.991811,0.993789,0.992517,0.992886,0.993789,0.99,0.99,0.99,0.995501,0.995501,0.995501,,,,,,
0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,
0.505,1.00435,0.9999,0.996567,1.01,1.00813,1.0061,1.00741,1.00703,1.0061,1.01,1.01,1.01,1.00435,1.00435,1.00435,,,,,,
0.51,1.00856,0.9996,0.992936,1.02,1.01622,1.0121,1.01474,1.01397,1.0121,1.02,1.02,1.02,1.00856,1.00856,1.00856,,,,,,
0.515,1.01263,0.9991,0.989109,1.03,1.02424,1.01798,1.022,1.02082,1.01798,1.03,1.03,1.03,1.01263,1.01263,1.01263,,,,,,
0.52,1.01654,0.9984,0.985088,1.04,1.03221,1.02375,1.02917,1.02759,1.02375,1.04,1.04,1.04,1.01654,1.01654,1.01654,,,,,,
0.525,1.0203,0.9975,0.980875,1.05,1.04012,1.02941,1.03627,1.03426,1.02941,1.05,1.05,1.05,1.0203,1.0203,1.0203,,,,,,
0.53,1.02391,0.9964,0.976472,1.06,1.04797,1.03495,1.04329,1.04084,1.03495,1.06,1.06,1.06,1.02391,1.02391,1.02391,,,,,,
0.535,1.02737,0.9951,0.971881,1.07,1.05576,1.04038,1.05022,1.04733,1.04038,1.07,1.07,1.07,1.02737,1.02737,1.02737,,,,,,
0.54,1.03067,0.9936,0.967104,1.08,1.0635,1.04569,1.05708,1.05372,1.04569,1.08,1.08,1.08,1.03067,1.03067,1.03067,,,,,,
0.545,1.03382,0.9919,0.962143,1.09,1.07117,1.05087,1.06384,1.06002,1.05087,1.09,1.09,1.09,1.03382,1.03382,1.03382,,,,,,
0.55,1.0368,0.99,0.957,1.1,1.07878,1.05594,1.07052,1.06622,1.05594,1.1,1.1,1.1,1.0368,1.0368,1.0368,,,,,,
0.555,1.03963,0.9879,0.951677,1.11,1.08632,1.06088,1.07712,1.07231,1.06088,1.11,1.11,1.11,1.03963,1.03963,1.03963,,,,,,
0.56,1.04229,0.9856,0.946176,1.12,1.09381,1.06569,1.08362,1.07831,1.06569,1.12,1.12,1.12,1.04229,1.04229,1.04229,,,,,,
0.565,1.04479,0.9831,0.940499,1.13,1.10122,1.07038,1.09004,1.0842,1.07038,1.13,1.13,1.13,1.04479,1.04479,1.04479,,,,,,
0.57,1.04713,0.9804,0.934648,1.14,1.10857,1.07494,1.09636,1.08999,1.07494,1.14,1.14,1.14,1.04713,1.04713,1.04713,,,,,,
0.575,1.0493,0.9775,0.928625,1.15,1.11585,1.07936,1.10258,1.09567,1.07936,1.15,1.15,1.15,1.0493,1.0493,1.0493,,,,,,
0.58,1.05129,0.9744,0.922432,1.16,1.12306,1.08365,1.10871,1.10124,1.08365,1.16,1.16,1.16,1.05129,1.05129,1.05129,,,,,,
0.585,1.05312,0.9711,0.916071,1.17,1.13021,1.08781,1.11475,1.1067,1.08781,1.17,1.17,1.17,1.05312,1.05312,1.05312,,,,,,
0.59,1.05477,0.9676,0.909544,1.18,1.13728,1.09183,1.12068,1.11205,1.09183,1.18,1.18,1.18,1.05477,1.05477,1.05477,,,,,,
0.595,1.05625,0.9639,0.902853,1.19,1.14427,1.0957,1.12652,1.11728,1.0957,1.19,1.19,1.19,1.05625,1.05625,1.05625,,,,,,
0.6,1.05754,0.96,0.896,1.2,1.15119,1.09944,1.13225,1.12239,1.09944,1.2,1.2,1.2,1.05754,1.05754,1.05754,,,,,,
0.605,1.05866,0.9559,0.888987,1.21,1.15804,1.10303,1.13788,1.12739,1.10303,1.21,1.21,1.21,1.05866,1.05866,1.05866,,,,,,
0.61,1.05959,0.9516,0.881816,1.22,1.16481,1.10647,1.14339,1.13227,1.10647,1.22,1.22,1.22,1.05959,1.05959,1.05959,,,,,,
0.615,1.06034,0.9471,0.874489,1.23,1.1715,1.10976,1.1488,1.13702,1.10976,1.23,1.23,1.23,1.06034,1.06034,1.06034,,,,,,
0.62,1.06091,0.9424,0.867008,1.24,1.17811,1.1129,1.1541,1.14164,1.1129,1.24,1.24,1.24,1.06091,1.06091,1.06091,,,,,,
0.625,1.06128,0.9375,0.859375,1.25,1.18463,1.11588,1.15929,1.14614,1.11588,1.25,1.25,1.25,1.06128,1.06128,1.06128,,,,,,
0.63,1.06146,0.9324,0.851592,1.26,1.19108,1.11871,1.16436,1.1505,1.11871,1.26,1.26,1.26,1.06146,1.06146,1.06146,,,,,,
0.635,1.06144,0.9271,0.843661,1.27,1.19743,1.12138,1.16931,1.15473,1.12138,1.27,1.27,1.27,1.06144,1.06144,1.06144,,,,,,
0.64,1.06123,0.9216,0.835584,1.28,1.2037,1.12388,1.17414,1.15882,1.12388,1.28,1.28,1.28,1.06123,1.06123,1.06123,,,,,,
0.645,1.06082,0.9159,0.827363,1.29,1.20988,1.12621,1.17885,1.16278,1.12621,1.29,1.29,1.29,1.06082,1.06082,1.06082,,,,,,
0.65,1.0602,0.91,0.819,1.3,1.21597,1.12837,1.18343,1.16659,1.12837,1.3,1.3,1.3,1.0602,1.0602,1.0602,,,,,,
0.655,1.05938,0.9039,0.810497,1.31,1.22197,1.13037,1.18789,1.17025,1.13037,1.31,1.31,1.31,1.05938,1.05938,1.05938,,,,,,
0.66,1.05835,0.8976,0.801856,1.32,1.22787,1.13218,1.19221,1.17377,1.13218,1.32,1.32,1.32,1.05835,1.05835,1.05835,,,,,,
0.665,1.0571,0.8911,0.793079,1.33,1.23367,1.13381,1.1964,1.17713,1.13381,1.33,1.33,1.33,1.0571,1.0571,1.0571,,,,,,
0.67,1.05564,0.8844,0.784168,1.34,1.23937,1.13526,1.20045,1.18034,1.13526,1.34,1.34,1.34,1.05564,1.05564,1.05564,,,,,,
0.675,1.05397,0.8775,0.775125,1.35,1.24497,1.13653,1.20435,1.18339,1.13653,1.35,1.35,1.35,1.05397,1.05397,1.05397,,,,,,
0.68,1.05207,0.8704,0.765952,1.36,1.25047,1.1376,1.20812,1.18627,1.1376,1.36,1.36,1.36,1.05207,1.05207,1.05207,,,,,,
0.685,1.04994,0.8631,0.756651,1.37,1.25585,1.13847,1.21174,1.18899,1.13847,1.37,1.37,1.37,1.04994,1.04994,1.04994,,,,,,
0.69,1.04759,0.8556,0.747224,1.38,1.26113,1.13915,1.2152,1.19154,1.13915,1.38,1.38,1.38,1.04759,1.04759,1.04759,,,,,,
0.695,1.045,0.8479,0.737673,1.39,1.26629,1.13962,1.21852,1.19392,1.13962,1.39,1.39,1.39,1.045,1.045,1.045,,,,,,
0.7,1.04218,0.84,0.728,1.4,1.27134,1.13989,1.22167,1.19611,1.13989,1.4,1.4,1.4,1.04218,1.04218,1.04218,,,,,,
0.705,1.03912,0.8319,0.718207,1.41,1.27627,1.13994,1.22466,1.19812,1.13994,1.41,1.41,1.41,1.03912,1.03912,1.03912,,,,,,
0.71,1.03581,0.8236,0.708296,1.42,1.28108,1.13977,1.22748,1.19994,1.13977,1.42,1.42,1.42,1.03581,1.03581,1.03581,,,,,,
0.715,1.03225,0.8151,0.698269,1.43,1.28576,1.13939,1.23013,1.20157,1.13939,1.43,1.43,1.43,1.03225,1.03225,1.03225,,,,,,
0.72,1.02844,0.8064,0.688128,1.44,1.29032,1.13877,1.23261,1.203,1.13877,1.44,1.44,1.44,1.02844,1.02844,1.02844,,,,,,
0.725,1.02437,0.7975,0.677875,1.45,1.29474,1.13792,1.2349,1.20423,1.13792,1.45,1.45,1.45,1.02437,1.02437,1.02437,,,,,,
0.73,1.02004,0.7884,0.667512,1.46,1.29902,1.13683,1.23701,1.20525,1.13683,1.46,1.46,1.46,1.02004,1.02004,1.02004,,,,,,
0.735,1.01545,0.7791,0.657041,1.47,1.30317,1.1355,1.23893,1.20605,1.1355,1.47,1.47,1.47,1.01545,1.01545,1.01545,,,,,,
0.74,1.01058,0.7696,0.646464,1.48,1.30717,1.13391,1.24065,1.20663,1.13391,1.48,1.48,1.48,1.01058,1.01058,1.01058,,,,,,
0.745,1.00543,0.7599,0.635783,1.49,1.31102,1.13207,1.24216,1.20699,1.13207,1.49,1.49,1.49,1.00543,1.00543,1.00543,,,,,,
0.75,1,0.75,0.625,1.5,1.31472,1.12996,1.24347,1.20711,1.12996,1.5,1.5,1.5,1,1,1,,,,,,
0.755,0.994282,0.7399,0.614117,1.51,1.31826,1.12758,1.24456,1.20698,1.12758,1.51,1.51,1.51,0.994282,0.994282,0.994282,,,,,,
0.76,0.988269,0.7296,0.603136,1.52,1.32164,1.12492,1.24543,1.20661,1.12492,1.52,1.52,1.52,0.988269,0.988269,0.988269,,,,,,
