# Forward reconstruction (consistency check), model R3: E=344 kJ/mol, lnA=58.6. T (C), alpha experimental and modelled for each beta.
T_C_1K,alpha_exp_1K,alpha_model_1K,T_C_3K,alpha_exp_3K,alpha_model_3K,T_C_5K,alpha_exp_5K,alpha_model_5K
337.211,0.0557823,0.0770043,348.074,0.0557659,0.0815241,354.288,0.055798,0.0942158
337.245,0.0561019,0.07758,348.106,0.0560855,0.0821165,354.32,0.0561176,0.094892
337.279,0.0564233,0.0781577,348.138,0.056407,0.0827107,354.351,0.0564391,0.09557
337.313,0.0567466,0.0787373,348.17,0.0567303,0.0833067,354.383,0.0567624,0.0962501
337.347,0.0570718,0.0793188,348.202,0.0570555,0.0839045,354.415,0.0570875,0.096932
337.381,0.0573988,0.0799023,348.234,0.0573825,0.0845041,354.447,0.0574145,0.0976159
337.415,0.0577277,0.0804878,348.266,0.0577114,0.0851056,354.479,0.0577434,0.0983018
337.449,0.0580585,0.0810752,348.299,0.0580422,0.0857088,354.511,0.0580742,0.0989896
337.483,0.0583912,0.0816646,348.331,0.0583749,0.0863138,354.543,0.0584069,0.0996794
337.517,0.0587258,0.0822559,348.363,0.0587095,0.0869206,354.574,0.0587415,0.100371
337.55,0.0590624,0.0828492,348.395,0.0590461,0.0875293,354.606,0.059078,0.101065
337.584,0.0594008,0.0834446,348.427,0.0593845,0.0881398,354.638,0.0594165,0.10176
337.618,0.0597412,0.0840419,348.459,0.059725,0.0887521,354.67,0.0597569,0.102458
337.652,0.0600836,0.0846412,348.491,0.0600673,0.0893663,354.702,0.0600993,0.103158
337.686,0.060428,0.0852425,348.523,0.0604117,0.0899823,354.734,0.0604436,0.103859
337.72,0.0607743,0.0858457,348.555,0.060758,0.0906001,354.765,0.0607899,0.104563
337.754,0.0611226,0.0864511,348.587,0.0611063,0.0912198,354.797,0.0611382,0.105268
337.788,0.0614729,0.0870584,348.619,0.0614566,0.0918413,354.829,0.0614885,0.105976
337.822,0.0618252,0.0876677,348.652,0.0618089,0.0924647,354.861,0.0618408,0.106685
337.856,0.0621795,0.0882791,348.684,0.0621633,0.09309,354.893,0.0621952,0.107397
337.89,0.0625359,0.0888925,348.716,0.0625197,0.0937171,354.925,0.0625515,0.10811
337.924,0.0628943,0.0895079,348.748,0.0628781,0.0943461,354.957,0.0629099,0.108826
337.958,0.0632548,0.0901254,348.78,0.0632386,0.0949769,354.988,0.0632704,0.109543
337.992,0.0636174,0.0907449,348.812,0.0636011,0.0956097,355.02,0.063633,0.110263
338.026,0.063982,0.0913665,348.844,0.0639658,0.0962443,355.052,0.0639976,0.110985
338.059,0.0643487,0.0919901,348.876,0.0643325,0.0968808,355.084,0.0643643,0.111708
338.093,0.0647175,0.0926158,348.908,0.0647013,0.0975192,355.116,0.0647331,0.112434
