# Conversion and rate: T (C), alpha (-), dalpha/dt (1/s) for each beta.
T_C_1K,alpha_1K,rate_dadt_1/s_1K,T_C_3K,alpha_3K,rate_dadt_1/s_3K,T_C_5K,alpha_5K,rate_dadt_1/s_5K
285.293,4.88499e-06,1.55148e-06,282.433,1.00853e-07,0,286.364,0,0
285.295,5.01844e-06,1.58131e-06,282.435,1.00853e-07,0,286.365,0,0
285.296,5.15438e-06,1.60977e-06,282.437,1.00853e-07,0,286.367,0,0
285.297,5.29259e-06,1.63463e-06,282.439,1.00853e-07,0,286.369,0,0
285.299,5.4327e-06,1.65436e-06,282.441,1.00853e-07,0,286.371,0,0
285.3,5.57426e-06,1.66864e-06,282.443,1.00853e-07,0,286.373,0,0
285.302,5.71689e-06,1.67928e-06,282.445,1.00853e-07,0,286.374,0,0
285.303,5.86029e-06,1.68691e-06,282.447,1.00853e-07,0,286.376,0,0
285.305,6.00428e-06,1.69318e-06,282.449,1.00853e-07,0,286.378,0,0
285.306,6.14883e-06,1.70016e-06,282.452,1.00853e-07,0,286.38,0,0
285.307,6.29394e-06,1.70599e-06,282.454,1.00853e-07,0,286.381,0,0
285.309,6.43946e-06,1.71006e-06,282.456,1.00853e-07,0,286.383,0,0
285.31,6.5854e-06,1.71577e-06,282.458,1.00853e-07,0,286.385,0,0
285.312,6.73193e-06,1.72391e-06,282.46,1.00853e-07,0,286.387,0,0
285.313,6.88012e-06,1.7303e-06,282.462,1.00853e-07,0,286.388,0,0
285.314,7.0277e-06,1.7341e-06,282.464,1.00853e-07,0,286.39,0,0
285.316,7.1755e-06,1.7354e-06,282.466,1.00853e-07,0,286.392,0,0
285.317,7.32326e-06,1.73315e-06,282.468,1.00853e-07,0,286.394,0,0
285.319,7.47073e-06,1.72859e-06,282.47,1.00853e-07,0,286.395,0,0
285.32,7.61786e-06,1.72524e-06,282.472,1.00853e-07,0,286.397,0,0
285.322,7.76489e-06,1.72615e-06,282.475,1.00853e-07,0,286.399,0,0
285.323,7.91311e-06,1.72889e-06,282.477,1.00853e-07,0,286.401,0,0
285.324,8.06056e-06,1.7322e-06,282.479,1.00853e-07,0,286.402,0,0
285.326,8.20836e-06,1.7374e-06,282.481,1.00853e-07,0,286.404,0,0
285.327,8.35682e-06,1.7474e-06,282.483,1.00853e-07,0,286.406,0,0
285.329,8.50633e-06,1.76242e-06,282.485,1.00853e-07,0,286.408,0,0
285.33,8.65726e-06,1.78042e-06,282.487,1.00853e-07,0,286.409,0,0
285.332,8.80975e-06,1.79916e-06,282.489,1.00853e-07,0,286.411,0,0
285.333,8.96391e-06,1.8197e-06,282.491,1.00853e-07,0,286.413,0,0
285.334,9.11985e-06,1.84076e-06,282.493,1.00853e-07,0,286.415,0,0
285.336,9.27879e-06,1.8642e-06,282.495,1.00853e-07,0,286.417,0,0
285.337,9.43871e-06,1.88983e-06,282.498,1.00853e-07,0,286.418,0,0
285.339,9.60095e-06,1.91852e-06,282.5,1.00853e-07,0,286.42,0,0
285.34,9.76568e-06,1.94839e-06,282.502,1.00853e-07,0,286.422,0,0
285.341,9.93295e-06,1.97825e-06,282.504,1.00853e-07,0,286.424,0,0
285.343,1.01028e-05,2.00806e-06,282.506,1.00853e-07,0,286.425,0,0
285.344,1.0275e-05,2.03564e-06,282.508,1.00853e-07,0,286.427,0,0
285.346,1.04496e-05,2.06326e-06,282.51,1.00853e-07,0,286.429,0,0
285.347,1.06266e-05,2.09039e-06,282.512,1.00853e-07,0,286.431,0,0
285.349,1.08059e-05,2.11834e-06,282.514,1.00853e-07,0,286.432,0,0
285.35,1.0989e-05,2.14948e-06,282.516,1.00853e-07,0,286.434,0,0
285.351,1.11735e-05,2.18231e-06,282.519,1.00853e-07,0,286.436,0,0
285.353,1.1361e-05,2.21807e-06,282.521,1.00853e-07,0,286.438,0,0
285.354,1.15516e-05,2.25734e-06,282.523,1.00853e-07,0,286.439,0,0
285.356,1.17457e-05,2.29822e-06,282.525,1.00853e-07,0,286.441,0,0
285.357,1.19432e-05,2.33761e-06,282.527,1.00853e-07,0,286.443,0,0
285.359,1.21439e-05,2.37529e-06,282.529,1.00853e-07,0,286.445,0,0
285.36,1.23479e-05,2.41281e-06,282.531,1.00853e-07,0,286.446,0,0
285.361,1.25549e-05,2.44629e-06,282.533,1.00853e-07,0,286.448,0,0
285.363,1.27661e-05,2.47725e-06,282.535,1.00853e-07,0,286.45,0,0
285.364,1.29784e-05,2.50667e-06,282.537,1.00853e-07,0,286.452,0,0
285.366,1.31932e-05,2.53453e-06,282.539,1.00853e-07,0,286.454,0,0
285.367,1.34103e-05,2.56087e-06,282.542,1.00853e-07,0,286.455,0,0
285.368,1.36295e-05,2.58628e-06,282.544,1.00853e-07,0,286.457,0,0
285.37,1.38509e-05,2.60937e-06,282.546,1.00853e-07,0,286.459,0,0
285.371,1.4074e-05,2.62869e-06,282.548,1.00853e-07,0,286.461,0,0
285.373,1.42987e-05,2.64533e-06,282.55,1.00853e-07,0,286.462,0,0
285.374,1.45248e-05,2.66266e-06,282.552,1.00853e-07,0,286.464,0,0
285.376,1.47539e-05,2.67847e-06,282.554,1.00853e-07,0,286.466,0,0
285.377,1.49828e-05,2.69341e-06,282.556,1.00853e-07,0,286.468,0,0
285.378,1.52129e-05,2.70854e-06,282.558,1.00853e-07,0,286.469,0,0
285.38,1.54442e-05,2.72115e-06,282.56,1.00853e-07,0,286.471,0,0
285.381,1.56765e-05,2.73246e-06,282.562,1.00853e-07,0,286.473,0,0
285.383,1.59097e-05,2.742e-06,282.565,1.00853e-07,0,286.475,0,0
285.384,1.61437e-05,2.74989e-06,282.567,1.00853e-07,0,286.476,0,0
285.386,1.63783e-05,2.75619e-06,282.569,1.00853e-07,0,286.478,0,0
285.387,1.66133e-05,2.76153e-06,282.571,1.00853e-07,0,286.48,0,0
285.388,1.68488e-05,2.76544e-06,282.573,1.00853e-07,0,286.482,0,0
285.39,1.70862e-05,2.77009e-06,282.575,1.00853e-07,0,286.483,0,0
285.391,1.73226e-05,2.77773e-06,282.577,1.00853e-07,0,286.485,0,0
285.393,1.75596e-05,2.78726e-06,282.579,1.00853e-07,0,286.487,0,0
285.394,1.77975e-05,2.79753e-06,282.581,1.00853e-07,0,286.489,0,0
285.395,1.80365e-05,2.8125e-06,282.583,1.00853e-07,0,286.49,0,0
285.397,1.8277e-05,2.83132e-06,282.585,1.00853e-07,0,286.492,0,0
285.398,1.85191e-05,2.85147e-06,282.588,1.00853e-07,0,286.494,0,0
285.4,1.8763e-05,2.87535e-06,282.59,1.00853e-07,0,286.496,0,0
285.401,1.90091e-05,2.90128e-06,282.592,1.00853e-07,0,286.498,0,0
285.403,1.92591e-05,2.92647e-06,282.594,1.00853e-07,0,286.499,0,0
