# DSC deconvolution: T (C), smoothed signal, baseline, components (mW/mg).
T_C_1K,DSC_smoothed_1K,baseline_1K,peak_minus_baseline_1K,FS_fit_1K,T_C_3K,DSC_smoothed_3K,baseline_3K,peak_minus_baseline_3K,FS_fit_3K,T_C_5K,DSC_smoothed_5K,baseline_5K,peak_minus_baseline_5K,FS_fit_5K
503.089,-1.33773,-1.34763,0.00990302,-1.34131,511.568,-0.620268,-0.628832,0.00856414,-0.628395,515.378,-0.567417,-0.579735,0.012318,-0.576213
503.128,-1.33796,-1.3479,0.00993812,-1.34151,511.613,-0.620305,-0.628983,0.00867817,-0.628538,515.421,-0.567311,-0.579833,0.012522,-0.576269
503.167,-1.33815,-1.34817,0.0100137,-1.34171,511.658,-0.620333,-0.629134,0.00880147,-0.628681,515.463,-0.567184,-0.579932,0.0127474,-0.576324
503.206,-1.3383,-1.34843,0.0101359,-1.3419,511.703,-0.620359,-0.629285,0.00892643,-0.628824,515.506,-0.567054,-0.58003,0.0129759,-0.576379
503.245,-1.33845,-1.3487,0.010249,-1.3421,511.748,-0.620399,-0.629436,0.00903697,-0.628967,515.548,-0.566919,-0.580129,0.0132098,-0.576434
503.284,-1.3386,-1.34897,0.0103674,-1.3423,511.793,-0.620444,-0.629587,0.00914332,-0.62911,515.591,-0.566797,-0.580227,0.0134301,-0.576488
503.323,-1.33872,-1.34923,0.0105189,-1.34249,511.838,-0.620495,-0.629738,0.00924301,-0.629253,515.633,-0.566686,-0.580326,0.0136395,-0.576542
503.362,-1.33883,-1.3495,0.0106729,-1.34269,511.883,-0.620534,-0.629889,0.00935468,-0.629395,515.676,-0.566568,-0.580425,0.0138563,-0.576595
503.401,-1.33893,-1.34977,0.0108327,-1.34288,511.927,-0.620553,-0.63004,0.00948664,-0.629538,515.718,-0.566433,-0.580523,0.0140898,-0.576647
503.44,-1.33905,-1.35003,0.0109893,-1.34308,511.972,-0.620593,-0.630191,0.00959762,-0.62968,515.761,-0.566277,-0.580622,0.0143441,-0.576699
503.479,-1.33914,-1.3503,0.0111619,-1.34327,512.017,-0.620599,-0.630342,0.00974252,-0.629822,515.803,-0.566129,-0.58072,0.0145912,-0.576751
503.518,-1.33927,-1.35057,0.0112975,-1.34346,512.062,-0.620602,-0.630493,0.00989063,-0.629964,515.846,-0.56599,-0.580819,0.0148291,-0.576802
503.557,-1.33936,-1.35084,0.0114735,-1.34365,512.107,-0.620599,-0.630644,0.010045,-0.630106,515.888,-0.565847,-0.580917,0.01507,-0.576853
503.596,-1.33949,-1.3511,0.0116088,-1.34384,512.152,-0.620623,-0.630795,0.0101724,-0.630247,515.931,-0.565689,-0.581016,0.0153267,-0.576903
503.635,-1.33958,-1.35137,0.0117873,-1.34403,512.197,-0.620655,-0.630946,0.010291,-0.630389,515.973,-0.565527,-0.581114,0.0155873,-0.576952
503.673,-1.33965,-1.35164,0.0119884,-1.34422,512.242,-0.620677,-0.631097,0.0104206,-0.630531,516.015,-0.565365,-0.581213,0.0158473,-0.577001
503.712,-1.33973,-1.3519,0.0121763,-1.34441,512.287,-0.620709,-0.631248,0.0105392,-0.630672,516.058,-0.565209,-0.581311,0.0161019,-0.57705
503.751,-1.3398,-1.35217,0.0123643,-1.3446,512.332,-0.620736,-0.631399,0.0106632,-0.630813,516.1,-0.565071,-0.58141,0.016339,-0.577097
503.79,-1.33988,-1.35243,0.012558,-1.34479,512.377,-0.620774,-0.63155,0.0107767,-0.630954,516.143,-0.564932,-0.581508,0.0165765,-0.577145
503.829,-1.33997,-1.3527,0.0127293,-1.34498,512.422,-0.620818,-0.631702,0.0108832,-0.631095,516.185,-0.56477,-0.581607,0.0168369,-0.577192
503.868,-1.34003,-1.35297,0.01294,-1.34516,512.467,-0.620846,-0.631853,0.0110063,-0.631236,516.228,-0.564612,-0.581705,0.0170933,-0.577238
503.907,-1.34007,-1.35323,0.0131676,-1.34535,512.512,-0.620831,-0.632004,0.0111732,-0.631376,516.27,-0.564461,-0.581804,0.0173428,-0.577284
503.946,-1.34009,-1.3535,0.0134107,-1.34553,512.557,-0.620804,-0.632155,0.011351,-0.631517,516.313,-0.564337,-0.581902,0.0175656,-0.577329
503.985,-1.34016,-1.35377,0.0136107,-1.34572,512.602,-0.620794,-0.632306,0.0115123,-0.631657,516.355,-0.564214,-0.582001,0.0177869,-0.577373
504.024,-1.34025,-1.35403,0.0137837,-1.3459,512.647,-0.620798,-0.632457,0.011659,-0.631797,516.398,-0.564105,-0.582099,0.0179947,-0.577417
504.063,-1.34035,-1.3543,0.0139531,-1.34608,512.692,-0.620783,-0.632609,0.0118254,-0.631937,516.44,-0.56401,-0.582198,0.0181876,-0.577461
504.102,-1.34042,-1.35457,0.0141532,-1.34626,512.737,-0.620751,-0.63276,0.0120091,-0.632077,516.483,-0.563936,-0.582296,0.0183603,-0.577504
504.141,-1.34049,-1.35483,0.0143434,-1.34644,512.782,-0.620706,-0.632911,0.0122053,-0.632217,516.525,-0.56386,-0.582395,0.0185343,-0.577546
504.18,-1.34057,-1.3551,0.0145291,-1.34662,512.827,-0.620678,-0.633062,0.0123842,-0.632356,516.568,-0.563779,-0.582493,0.0187145,-0.577588
