# Forward reconstruction (consistency check), model R3: E=481 kJ/mol, lnA=94.7. T (C), alpha experimental and modelled for each beta.
T_C_1K,alpha_exp_1K,alpha_model_1K,T_C_3K,alpha_exp_3K,alpha_model_3K,T_C_5K,alpha_exp_5K,alpha_model_5K
290.461,0.0227259,0.0129217,298.57,0.0242059,0.0268872,297.809,0.0229217,0.0119405
290.462,0.0227463,0.013014,298.572,0.024238,0.0270804,297.81,0.0229433,0.0120257
290.464,0.0227668,0.0131064,298.574,0.0242702,0.0272736,297.812,0.0229651,0.0121115
290.465,0.0227872,0.0131987,298.576,0.0243025,0.0274668,297.814,0.0229868,0.0121968
290.466,0.0228076,0.0132911,298.578,0.0243346,0.0276591,297.816,0.0230086,0.0122826
290.468,0.0228283,0.0133841,298.58,0.0243669,0.0278525,297.818,0.0230304,0.0123684
290.469,0.0228487,0.0134765,298.582,0.0243992,0.0280458,297.819,0.0230521,0.0124538
290.471,0.0228692,0.0135689,298.584,0.0244316,0.0282393,297.821,0.023074,0.0125396
290.472,0.0228898,0.0136613,298.587,0.024464,0.0284327,297.823,0.0230959,0.0126255
290.473,0.0229103,0.0137538,298.589,0.0244964,0.0286262,297.825,0.0231177,0.012711
290.475,0.0229309,0.0138463,298.591,0.0245288,0.0288189,297.826,0.0231396,0.0127969
290.476,0.0229514,0.0139388,298.593,0.0245613,0.0290125,297.828,0.0231614,0.0128824
290.478,0.0229722,0.0140319,298.595,0.0245939,0.0292061,297.83,0.0231834,0.0129684
290.479,0.0229928,0.0141244,298.597,0.0246263,0.0293989,297.832,0.0232052,0.0130539
290.481,0.0230134,0.014217,298.599,0.024659,0.0295926,297.833,0.0232272,0.0131399
290.482,0.0230341,0.0143096,298.601,0.0246917,0.0297864,297.835,0.0232491,0.0132254
290.483,0.0230547,0.0144021,298.603,0.0247244,0.0299802,297.837,0.0232712,0.0133115
290.485,0.0230756,0.0144954,298.605,0.0247571,0.0301741,297.839,0.0232932,0.0133976
290.486,0.0230963,0.014588,298.608,0.02479,0.030368,297.84,0.0233152,0.0134832
290.488,0.023117,0.0146806,298.61,0.0248226,0.0305611,297.842,0.0233373,0.0135694
290.489,0.0231377,0.0147733,298.612,0.0248555,0.0307551,297.844,0.0233594,0.0136555
290.491,0.0231584,0.014866,298.614,0.0248884,0.0309491,297.846,0.0233814,0.0137412
290.492,0.0231792,0.0149587,298.616,0.0249214,0.0311432,297.847,0.0234035,0.0138274
290.493,0.0232001,0.015052,298.618,0.0249542,0.0313365,297.849,0.0234257,0.0139136
290.495,0.0232209,0.0151447,298.62,0.0249873,0.0315307,297.851,0.0234478,0.0139994
290.496,0.0232417,0.0152375,298.622,0.0250203,0.0317249,297.853,0.02347,0.0140856
290.498,0.0232625,0.0153302,298.624,0.0250535,0.0319192,297.854,0.0234922,0.0141719
290.499,0.0232834,0.015423,298.626,0.0250866,0.0321135,297.856,0.0235143,0.0142577
290.5,0.0233044,0.0155165,298.629,0.0251197,0.032307,297.858,0.0235366,0.0143441
290.502,0.0233252,0.0156093,298.631,0.0251529,0.0325014,297.86,0.0235588,0.0144299
290.503,0.0233461,0.0157021,298.633,0.0251862,0.0326959,297.861,0.0235811,0.0145163
290.505,0.023367,0.015795,298.635,0.0252195,0.0328904,297.863,0.0236034,0.0146027
290.506,0.0233879,0.0158879,298.637,0.0252528,0.033085,297.865,0.0236256,0.0146886
290.508,0.023409,0.0159814,298.639,0.025286,0.0332787,297.867,0.0236479,0.014775
290.509,0.02343,0.0160743,298.641,0.0253195,0.0334733,297.868,0.0236703,0.0148615
290.51,0.0234509,0.0161672,298.643,0.0253529,0.0336681,297.87,0.0236926,0.0149475
290.512,0.0234719,0.0162602,298.645,0.0253863,0.0338619,297.872,0.023715,0.015034
290.513,0.023493,0.0163538,298.647,0.0254198,0.0340567,297.874,0.0237375,0.0151205
290.515,0.023514,0.0164468,298.65,0.0254534,0.0342515,297.875,0.0237599,0.0152071
290.516,0.0235351,0.0165398,298.652,0.0254869,0.0344455,297.877,0.0237823,0.0152931
290.518,0.0235561,0.0166328,298.654,0.0255205,0.0346404,297.879,0.0238048,0.0153797
290.519,0.0235771,0.0167258,298.656,0.0255542,0.0348354,297.881,0.0238273,0.0154664
290.52,0.0235984,0.0168195,298.658,0.025588,0.0350304,297.883,0.0238498,0.015553
290.522,0.0236194,0.0169126,298.66,0.0256216,0.0352246,297.884,0.0238722,0.0156392
290.523,0.0236405,0.0170057,298.662,0.0256554,0.0354197,297.886,0.0238948,0.0157258
290.525,0.0236616,0.0170988,298.664,0.0256893,0.0356149,297.888,0.0239174,0.0158125
290.526,0.0236829,0.0171926,298.666,0.0257232,0.0358101,297.89,0.0239399,0.0158988
290.528,0.0237041,0.0172857,298.668,0.0257571,0.0360053,297.891,0.0239625,0.0159855
290.529,0.0237252,0.0173789,298.67,0.0257911,0.0362006,297.893,0.023985,0.0160718
290.53,0.0237464,0.0174721,298.673,0.0258251,0.036396,297.895,0.0240077,0.0161586
290.532,0.0237676,0.0175653,298.675,0.0258592,0.0365914,297.897,0.0240303,0.0162449
290.533,0.0237889,0.0176591,298.677,0.0258933,0.0367868,297.898,0.024053,0.0163317
290.535,0.0238101,0.0177524,298.679,0.0259274,0.0369823,297.9,0.0240756,0.0164181
290.536,0.0238314,0.0178456,298.681,0.0259616,0.0371779,297.902,0.0240982,0.0165045
290.537,0.0238526,0.0179389,298.683,0.0259958,0.0373735,297.904,0.024121,0.0165914
290.539,0.023874,0.0180329,298.685,0.02603,0.0375691,297.905,0.0241438,0.0166783
290.54,0.0238953,0.0181262,298.687,0.0260643,0.0377648,297.907,0.0241664,0.0167647
290.542,0.0239166,0.0182195,298.689,0.0260987,0.0379605,297.909,0.0241893,0.0168517
290.543,0.0239379,0.0183128,298.691,0.026133,0.0381562,297.911,0.024212,0.0169382
290.545,0.0239594,0.0184069,298.694,0.0261673,0.0383511,297.912,0.0242349,0.0170252
290.546,0.0239807,0.0185002,298.696,0.0262017,0.038547,297.914,0.0242578,0.0171122
290.547,0.0240021,0.0185936,298.698,0.0262362,0.0387429,297.916,0.0242805,0.0171988
290.549,0.0240235,0.0186871,298.7,0.0262707,0.0389388,297.918,0.0243035,0.0172859
290.55,0.024045,0.0187811,298.702,0.0263053,0.0391348,297.919,0.0243263,0.0173725
290.552,0.0240664,0.0188746,298.704,0.0263399,0.0393309,297.921,0.0243493,0.0174596
290.553,0.0240878,0.0189681,298.706,0.0263746,0.039527,297.923,0.0243721,0.0175462
290.555,0.0241093,0.0190616,298.708,0.0264092,0.0397231,297.925,0.0243951,0.0176334
290.556,0.0241309,0.0191557,298.71,0.026444,0.0399193,297.926,0.024418,0.0177201
290.557,0.0241524,0.0192493,298.712,0.0264787,0.0401155,297.928,0.0244411,0.0178073
290.559,0.0241739,0.0193428,298.715,0.0265135,0.0403118,297.93,0.024464,0.017894
290.56,0.0241954,0.0194364,298.717,0.0265484,0.0405081,297.932,0.0244871,0.0179813
290.562,0.024217,0.0195306,298.719,0.0265833,0.0407045,297.933,0.0245103,0.0180685
290.563,0.0242386,0.0196242,298.721,0.0266182,0.0409009,297.935,0.0245333,0.0181553
290.564,0.0242601,0.0197178,298.723,0.0266531,0.0410973,297.937,0.0245564,0.0182426
290.566,0.0242817,0.0198115,298.725,0.0266882,0.0412939,297.939,0.0245795,0.0183295
290.567,0.0243035,0.0199058,298.727,0.0267232,0.0414904,297.94,0.0246026,0.0184168
290.569,0.0243251,0.0199994,298.729,0.0267583,0.041687,297.942,0.0246259,0.0185042
290.57,0.0243467,0.0200931,298.731,0.0267934,0.0418836,297.944,0.024649,0.0185911
290.572,0.0243685,0.0201875,298.733,0.0268286,0.0420803,297.946,0.0246722,0.0186786
290.573,0.0243902,0.0202812,298.736,0.0268638,0.0422771,297.947,0.0246955,0.018766
290.574,0.0244118,0.020375,298.738,0.0268992,0.0424748,297.949,0.0247188,0.0188535
290.576,0.0244335,0.0204688,298.74,0.0269345,0.0426716,297.951,0.024742,0.0189405
290.577,0.0244554,0.0205632,298.742,0.0269698,0.0428685,297.953,0.0247653,0.019028
290.579,0.0244771,0.020657,298.744,0.0270053,0.0430663,297.954,0.0247887,0.0191155
290.58,0.0244989,0.0207508,298.746,0.0270408,0.0432633,297.956,0.024812,0.0192031
290.582,0.0245206,0.0208447,298.748,0.0270762,0.0434603,297.958,0.0248353,0.0192902
290.583,0.0245426,0.0209392,298.75,0.0271117,0.0436574,297.96,0.0248587,0.0193778
290.584,0.0245644,0.021033,298.752,0.0271474,0.0438554,297.962,0.0248821,0.0194654
290.586,0.0245862,0.0211269,298.755,0.027183,0.0440526,297.963,0.0249056,0.019553
290.587,0.024608,0.0212208,298.757,0.0272186,0.0442498,297.965,0.0249289,0.0196402
290.589,0.02463,0.0213154,298.759,0.0272542,0.044447,297.967,0.0249524,0.0197279
290.59,0.0246518,0.0214094,298.761,0.0272901,0.0446452,297.969,0.0249759,0.0198156
290.592,0.0246737,0.0215034,298.763,0.0273258,0.0448426,297.97,0.0249994,0.0199029
290.593,0.0246956,0.0215973,298.765,0.0273616,0.04504,297.972,0.0250229,0.0199906
290.594,0.0247177,0.021692,298.767,0.0273974,0.0452374,297.974,0.0250465,0.0200784
290.596,0.0247396,0.021786,298.769,0.0274333,0.0454349,297.976,0.0250699,0.0201657
290.597,0.0247615,0.0218801,298.771,0.0274692,0.0456324,297.977,0.0250936,0.0202535
290.599,0.0247835,0.0219741,298.773,0.0275052,0.0458299,297.979,0.0251172,0.0203414
290.6,0.0248055,0.0220682,298.776,0.0275413,0.0460285,297.981,0.0251407,0.0204287
290.601,0.0248275,0.0221623,298.778,0.0275774,0.0462262,297.983,0.0251644,0.0205166
290.603,0.0248496,0.0222571,298.78,0.0276134,0.0464239,297.984,0.0251881,0.0206045
290.604,0.0248716,0.0223512,298.782,0.0276497,0.0466226,297.986,0.0252118,0.0206925
290.606,0.0248937,0.0224453,298.784,0.0276859,0.0468204,297.988,0.0252354,0.0207799
290.607,0.0249157,0.0225395,298.786,0.0277221,0.0470182,297.99,0.0252592,0.0208679
290.609,0.024938,0.0226344,298.788,0.0277584,0.0472161,297.991,0.025283,0.0209559
290.61,0.0249601,0.0227286,298.79,0.0277946,0.047414,297.993,0.0253068,0.0210439
290.611,0.0249822,0.0228228,298.792,0.027831,0.047612,297.995,0.0253304,0.0211315
290.613,0.0250044,0.0229177,298.794,0.0278674,0.04781,297.997,0.0253543,0.0212195
290.614,0.0250266,0.0230119,298.797,0.0279038,0.0480081,297.998,0.0253781,0.0213076
290.616,0.0250487,0.0231062,298.799,0.0279403,0.0482062,298,0.0254019,0.0213952
290.617,0.0250711,0.0232012,298.801,0.0279768,0.0484044,298.002,0.0254258,0.0214834
290.619,0.0250932,0.0232955,298.803,0.0280133,0.0486026,298.004,0.0254497,0.0215715
290.62,0.0251155,0.0233898,298.805,0.0280499,0.0488009,298.005,0.0254735,0.0216592
290.621,0.0251377,0.0234842,298.807,0.0280865,0.0489992,298.007,0.0254975,0.0217474
290.623,0.0251599,0.0235785,298.809,0.0281232,0.0491975,298.009,0.0255213,0.0218351
290.624,0.0251823,0.0236736,298.811,0.0281601,0.0493968,298.011,0.0255453,0.0219234
290.626,0.0252046,0.023768,298.813,0.0281969,0.0495953,298.012,0.0255692,0.0220111
290.627,0.0252269,0.0238624,298.815,0.0282337,0.0497938,298.014,0.0255932,0.0220994
290.629,0.0252494,0.0239575,298.818,0.0282706,0.0499923,298.016,0.0256173,0.0221877
290.63,0.0252717,0.024052,298.82,0.0283075,0.0501909,298.018,0.0256412,0.0222756
290.631,0.025294,0.0241465,298.822,0.0283444,0.0503895,298.019,0.0256653,0.0223639
290.633,0.0253164,0.024241,298.824,0.0283814,0.0505882,298.021,0.0256893,0.0224518
290.634,0.025339,0.0243361,298.826,0.0284184,0.0507869,298.023,0.0257134,0.0225402
