# DSC deconvolution: T (C), smoothed signal, baseline, components (mW/mg).
T_C_1K,DSC_smoothed_1K,baseline_1K,peak_minus_baseline_1K,FS_fit_1K,T_C_3K,DSC_smoothed_3K,baseline_3K,peak_minus_baseline_3K,FS_fit_3K,T_C_5K,DSC_smoothed_5K,baseline_5K,peak_minus_baseline_5K,FS_fit_5K
285.1,-0.279775,-0.279672,0,-0.279672,282.148,-0.209195,-0.208402,0,-0.208402,286.124,-0.191228,-0.190789,0,-0.190789
285.101,-0.279777,-0.279671,0,-0.279671,282.15,-0.209195,-0.208394,0,-0.208394,286.126,-0.191227,-0.190779,0,-0.190779
285.103,-0.279779,-0.27967,0,-0.27967,282.152,-0.209196,-0.208387,0,-0.208387,286.128,-0.191225,-0.190769,0,-0.190769
285.104,-0.279781,-0.279669,0,-0.279669,282.154,-0.209197,-0.20838,0,-0.20838,286.13,-0.191224,-0.190759,0,-0.190759
285.106,-0.279783,-0.279669,0,-0.279669,282.156,-0.209198,-0.208372,0,-0.208372,286.131,-0.191222,-0.190749,0,-0.190749
285.107,-0.279786,-0.279668,0,-0.279668,282.158,-0.209199,-0.208365,0,-0.208365,286.133,-0.19122,-0.19074,0,-0.19074
285.108,-0.279789,-0.279667,0,-0.279667,282.16,-0.209201,-0.208358,0,-0.208358,286.135,-0.191219,-0.19073,0,-0.19073
285.11,-0.279791,-0.279667,0,-0.279667,282.163,-0.209203,-0.208351,0,-0.208351,286.137,-0.191217,-0.19072,0,-0.19072
285.111,-0.279794,-0.279666,0,-0.279666,282.165,-0.209204,-0.208343,0,-0.208343,286.138,-0.191215,-0.19071,0,-0.19071
285.113,-0.279797,-0.279665,0,-0.279665,282.167,-0.209206,-0.208336,0,-0.208336,286.14,-0.191213,-0.1907,0,-0.1907
285.114,-0.2798,-0.279665,0,-0.279665,282.169,-0.209208,-0.208329,0,-0.208329,286.142,-0.19121,-0.19069,0,-0.19069
285.116,-0.279803,-0.279664,0,-0.279664,282.171,-0.209209,-0.208321,0,-0.208321,286.144,-0.191208,-0.19068,0,-0.19068
285.117,-0.279806,-0.279663,0,-0.279663,282.173,-0.20921,-0.208314,0,-0.208314,286.145,-0.191204,-0.190671,0,-0.190671
285.118,-0.279809,-0.279662,0,-0.279662,282.175,-0.209211,-0.208307,0,-0.208307,286.147,-0.191201,-0.190661,0,-0.190661
285.12,-0.279811,-0.279662,0,-0.279662,282.177,-0.209212,-0.208299,0,-0.208299,286.149,-0.191198,-0.190651,0,-0.190651
285.121,-0.279813,-0.279661,0,-0.279661,282.179,-0.209212,-0.208292,0,-0.208292,286.151,-0.191194,-0.190641,0,-0.190641
285.123,-0.279816,-0.27966,0,-0.27966,282.181,-0.209211,-0.208285,0,-0.208285,286.152,-0.191191,-0.190631,0,-0.190631
285.124,-0.279818,-0.27966,0,-0.27966,282.184,-0.20921,-0.208278,0,-0.208278,286.154,-0.191188,-0.190621,0,-0.190621
285.126,-0.279821,-0.279659,0,-0.279659,282.186,-0.209209,-0.20827,0,-0.20827,286.156,-0.191185,-0.190611,0,-0.190611
285.127,-0.279823,-0.279658,0,-0.279658,282.188,-0.209207,-0.208263,0,-0.208263,286.158,-0.191181,-0.190602,0,-0.190602
285.128,-0.279826,-0.279658,0,-0.279658,282.19,-0.209205,-0.208256,0,-0.208256,286.16,-0.191178,-0.190592,0,-0.190592
285.13,-0.279829,-0.279657,0,-0.279657,282.192,-0.209201,-0.208248,0,-0.208248,286.161,-0.191175,-0.190582,0,-0.190582
285.131,-0.279832,-0.279656,0,-0.279656,282.194,-0.209198,-0.208241,0,-0.208241,286.163,-0.191172,-0.190572,0,-0.190572
285.133,-0.279835,-0.279655,0,-0.279655,282.196,-0.209194,-0.208234,0,-0.208234,286.165,-0.191169,-0.190562,0,-0.190562
285.134,-0.279837,-0.279655,0,-0.279655,282.198,-0.209191,-0.208226,0,-0.208226,286.167,-0.191166,-0.190552,0,-0.190552
285.135,-0.279839,-0.279654,0,-0.279654,282.2,-0.209188,-0.208219,0,-0.208219,286.168,-0.191163,-0.190543,0,-0.190543
285.137,-0.279842,-0.279653,0,-0.279653,282.202,-0.209184,-0.208212,0,-0.208212,286.17,-0.191159,-0.190533,0,-0.190533
285.138,-0.279846,-0.279653,0,-0.279653,282.204,-0.209181,-0.208204,0,-0.208204,286.172,-0.191156,-0.190523,0,-0.190523
285.14,-0.27985,-0.279652,0,-0.279652,282.207,-0.209177,-0.208197,0,-0.208197,286.174,-0.191152,-0.190513,0,-0.190513
285.141,-0.279854,-0.279651,0,-0.279651,282.209,-0.209174,-0.20819,0,-0.20819,286.175,-0.191147,-0.190503,0,-0.190503
285.143,-0.279858,-0.279651,0,-0.279651,282.211,-0.209171,-0.208183,0,-0.208183,286.177,-0.191143,-0.190493,0,-0.190493
285.144,-0.279862,-0.27965,0,-0.27965,282.213,-0.209169,-0.208175,0,-0.208175,286.179,-0.191138,-0.190483,0,-0.190483
285.145,-0.279866,-0.279649,0,-0.279649,282.215,-0.209167,-0.208168,0,-0.208168,286.181,-0.191134,-0.190474,0,-0.190474
285.147,-0.27987,-0.279649,0,-0.279649,282.217,-0.209167,-0.208161,0,-0.208161,286.182,-0.19113,-0.190464,0,-0.190464
285.148,-0.279876,-0.279648,0,-0.279648,282.219,-0.209166,-0.208153,0,-0.208153,286.184,-0.191127,-0.190454,0,-0.190454
285.15,-0.279882,-0.279647,0,-0.279647,282.221,-0.209166,-0.208146,0,-0.208146,286.186,-0.191124,-0.190444,0,-0.190444
285.151,-0.279889,-0.279646,0,-0.279646,282.223,-0.209166,-0.208139,0,-0.208139,286.188,-0.191121,-0.190434,0,-0.190434
