#EXPORTTYPE:DATA SINGLE
#FILE:M-TBA_m=6.03Ï„_30-590-20 C_3Kmin.ngb-sd7
#FORMAT:NETZSCH5
#FTYPE:ANSI
#IDENTITY:02
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH DSC 204F1 Phoenix
#PROJECT:
#DATE/TIME:23.04.2025 15:30
#CORR. FILE:
#TEMPCAL:13.02.2020_concavus.ngb-td7
#SENSITIVITY:24.09.2020_sensitivity.ngb-ed7
#LABORATORY:
#OPERATOR:
#REMARK:ÚË„ÂÎ¸:  m=23.78 Ï„  Á‡ÔÂÒÒÓ‚‡Ì
#SAMPLE:M-TBA
#SAMPLE MASS /mg:6.03
#MATERIAL:
#REFERENCE:
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:Pan Al, open
#SAMPLE CRUCIBLE MASS /mg:0
#REFERENCE CRUCIBLE MASS /mg:0
#M.RANGE /µV:5000
#TAU-R:---
#CORR. CODE:000
#EXO:-1
#RANGE:30∞C/3,0(K/min)/590∞C/30,0(K/min)/20∞C/
#SEGMENT:S1/2
#SEG. 1:30∞C/3,0(K/min)/590∞C
#SEG. 2:590∞C/30,0(K/min)/20∞C

##Temp./∞C;Time/min;DSC/(mW/mg);Sensit./(uV/mW);Segment
292.78619;87.58550;    -0.17918;2.71923;1
292.78829;87.58620;    -0.17916;2.71922;1
292.79038;87.58690;    -0.17914;2.71921;1
292.79248;87.58760;    -0.17912;2.71921;1
292.79458;87.58830;    -0.17910;2.71920;1
292.79668;87.58900;    -0.17906;2.71920;1
292.79878;87.58969;    -0.17902;2.71919;1
292.80088;87.59039;    -0.17899;2.71918;1
292.80297;87.59109;    -0.17897;2.71918;1
292.80507;87.59179;    -0.17895;2.71917;1
292.80717;87.59249;    -0.17894;2.71916;1
292.80926;87.59319;    -0.17892;2.71916;1
292.81136;87.59389;    -0.17888;2.71915;1
292.81346;87.59459;    -0.17884;2.71915;1
292.81555;87.59528;    -0.17881;2.71914;1
292.81765;87.59598;    -0.17879;2.71913;1
292.81975;87.59668;    -0.17877;2.71913;1
292.82184;87.59738;    -0.17874;2.71912;1
292.82394;87.59808;    -0.17869;2.71911;1
292.82604;87.59878;    -0.17865;2.71911;1
292.82814;87.59948;    -0.17861;2.71910;1
292.83024;87.60018;    -0.17858;2.71910;1
292.83234;87.60087;    -0.17856;2.71909;1
292.83444;87.60157;    -0.17854;2.71908;1
292.83653;87.60227;    -0.17852;2.71908;1
292.83863;87.60297;    -0.17850;2.71907;1
292.84073;87.60367;    -0.17849;2.71906;1
292.84283;87.60437;    -0.17851;2.71906;1
292.84493;87.60507;    -0.17854;2.71905;1
292.84702;87.60577;    -0.17857;2.71905;1
292.84912;87.60646;    -0.17858;2.71904;1
292.85122;87.60716;    -0.17859;2.71903;1
292.85332;87.60786;    -0.17859;2.71903;1
292.85541;87.60856;    -0.17859;2.71902;1
292.85751;87.60926;    -0.17859;2.71901;1
292.85961;87.60996;    -0.17859;2.71901;1
292.86170;87.61066;    -0.17858;2.71900;1
292.86380;87.61136;    -0.17858;2.71899;1
292.86590;87.61205;    -0.17859;2.71899;1
292.86800;87.61275;    -0.17859;2.71898;1
292.87009;87.61345;    -0.17858;2.71898;1
292.87219;87.61415;    -0.17856;2.71897;1
292.87429;87.61485;    -0.17854;2.71896;1
292.87639;87.61555;    -0.17853;2.71896;1
292.87848;87.61625;    -0.17854;2.71895;1
292.88058;87.61695;    -0.17854;2.71894;1
292.88268;87.61764;    -0.17854;2.71894;1
292.88477;87.61834;    -0.17854;2.71893;1
292.88687;87.61904;    -0.17854;2.71893;1
292.88897;87.61974;    -0.17854;2.71892;1
292.89107;87.62044;    -0.17853;2.71891;1
292.89317;87.62114;    -0.17851;2.71891;1
292.89527;87.62184;    -0.17849;2.71890;1
292.89737;87.62254;    -0.17848;2.71889;1
292.89947;87.62323;    -0.17845;2.71889;1
292.90157;87.62393;    -0.17840;2.71888;1
292.90366;87.62463;    -0.17834;2.71888;1
292.90576;87.62533;    -0.17829;2.71887;1
292.90786;87.62603;    -0.17825;2.71886;1
292.90996;87.62673;    -0.17821;2.71886;1
292.91206;87.62743;    -0.17816;2.71885;1
292.91416;87.62813;    -0.17809;2.71884;1
292.91626;87.62882;    -0.17803;2.71884;1
292.91836;87.62952;    -0.17797;2.71883;1
292.92046;87.63022;    -0.17792;2.71883;1
292.92256;87.63092;    -0.17790;2.71882;1
292.92466;87.63162;    -0.17789;2.71881;1
292.92676;87.63232;    -0.17789;2.71881;1
292.92886;87.63302;    -0.17790;2.71880;1
292.93096;87.63372;    -0.17787;2.71879;1
292.93306;87.63441;    -0.17783;2.71879;1
292.93516;87.63511;    -0.17779;2.71878;1
292.93726;87.63581;    -0.17777;2.71878;1
292.93936;87.63651;    -0.17775;2.71877;1
292.94146;87.63721;    -0.17774;2.71876;1
292.94356;87.63791;    -0.17772;2.71876;1
292.94566;87.63861;    -0.17769;2.71875;1
292.94776;87.63931;    -0.17767;2.71874;1
292.94986;87.64000;    -0.17766;2.71874;1
292.95196;87.64070;    -0.17764;2.71873;1
292.95406;87.64140;    -0.17762;2.71872;1
292.95615;87.64210;    -0.17759;2.71872;1
292.95825;87.64280;    -0.17755;2.71871;1
292.96035;87.64350;    -0.17751;2.71871;1
292.96245;87.64420;    -0.17749;2.71870;1
292.96455;87.64490;    -0.17747;2.71869;1
292.96665;87.64559;    -0.17745;2.71869;1
292.96875;87.64629;    -0.17743;2.71868;1
292.97085;87.64699;    -0.17743;2.71867;1
292.97295;87.64769;    -0.17745;2.71867;1
292.97504;87.64839;    -0.17747;2.71866;1
292.97714;87.64909;    -0.17748;2.71866;1
292.97924;87.64979;    -0.17747;2.71865;1
292.98134;87.65049;    -0.17747;2.71864;1
292.98344;87.65118;    -0.17745;2.71864;1
292.98554;87.65188;    -0.17741;2.71863;1
292.98764;87.65258;    -0.17733;2.71862;1
292.98974;87.65328;    -0.17724;2.71862;1
292.99184;87.65398;    -0.17718;2.71861;1
292.99394;87.65468;    -0.17713;2.71861;1
292.99604;87.65538;    -0.17707;2.71860;1
292.99814;87.65608;    -0.17700;2.71859;1
293.00024;87.65677;    -0.17695;2.71859;1
293.00234;87.65747;    -0.17693;2.71858;1
293.00444;87.65817;    -0.17692;2.71857;1
293.00654;87.65887;    -0.17690;2.71857;1
293.00865;87.65957;    -0.17688;2.71856;1
293.01075;87.66027;    -0.17686;2.71856;1
293.01285;87.66097;    -0.17686;2.71855;1
293.01494;87.66167;    -0.17687;2.71854;1
293.01704;87.66236;    -0.17687;2.71854;1
293.01915;87.66306;    -0.17687;2.71853;1
293.02125;87.66376;    -0.17686;2.71852;1
293.02335;87.66446;    -0.17684;2.71852;1
293.02545;87.66516;    -0.17681;2.71851;1
293.02754;87.66586;    -0.17678;2.71851;1
293.02964;87.66656;    -0.17674;2.71850;1
293.03174;87.66726;    -0.17668;2.71849;1
293.03384;87.66795;    -0.17662;2.71849;1
293.03594;87.66865;    -0.17656;2.71848;1
293.03804;87.66935;    -0.17652;2.71847;1
293.04013;87.67005;    -0.17649;2.71847;1
293.04223;87.67075;    -0.17649;2.71846;1
293.04433;87.67145;    -0.17649;2.71846;1
293.04643;87.67215;    -0.17650;2.71845;1
293.04853;87.67285;    -0.17650;2.71844;1
293.05063;87.67354;    -0.17649;2.71844;1
293.05274;87.67424;    -0.17650;2.71843;1
293.05484;87.67494;    -0.17650;2.71842;1
293.05694;87.67564;    -0.17649;2.71842;1
293.05904;87.67634;    -0.17649;2.71841;1
293.06114;87.67704;    -0.17650;2.71840;1
293.06324;87.67774;    -0.17650;2.71840;1
293.06535;87.67844;    -0.17649;2.71839;1
293.06745;87.67913;    -0.17648;2.71839;1
293.06955;87.67983;    -0.17645;2.71838;1
293.07165;87.68053;    -0.17644;2.71837;1
293.07375;87.68123;    -0.17642;2.71837;1
293.07585;87.68193;    -0.17639;2.71836;1
