#EXPORTTYPE:DATA ALL
#FILE:Mel_m=3.89ìã_30-600-20 C_5Kmin.ngb-sd7
#FORMAT:NETZSCH5
#FTYPE:ANSI
#IDENTITY:01
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH DSC 204F1 Phoenix
#PROJECT:
#DATE/TIME:17.06.2026 18:01
#CORR. FILE:
#TEMPCAL:13.02.2020_concavus.ngb-td7
#SENSITIVITY:24.09.2020_sensitivity.ngb-ed7
#LABORATORY:
#OPERATOR:
#REMARK:òèãåëü:  m=23,55 ìã  çàïðåññîâàí  äî ýêñïåð. m=46,05 ìã
#SAMPLE:Mel
#SAMPLE MASS /mg:3.89
#MATERIAL:
#REFERENCE:
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:Pan Al, open
#SAMPLE CRUCIBLE MASS /mg:0
#REFERENCE CRUCIBLE MASS /mg:0
#M.RANGE /µV:5000
#TAU-R:---
#CORR. CODE:000
#EXO:-1
#RANGE:30°C/5,0(K/min)/600°C/30,0(K/min)/20°C/
#SEGMENT:S1-2/2
#SEG. 1:30°C/5,0(K/min)/600°C
#SEG. 2:600°C/30,0(K/min)/20°C

##Temp./°C;Time/min;DSC/(mW/mg);Gas Flow(purge2)/(ml/min);Gas Flow(protective)/(ml/min);Sensit./(uV/mW);Segment
185.00631; 30.99100;    -0.34971;100.00000;150.00000;2.92015;1
185.04883; 30.99950;    -0.34976;100.00000;150.00000;2.92012;1
185.09137; 31.00800;    -0.34976;100.00000;150.00000;2.92010;1
185.13388; 31.01650;    -0.34975;100.00000;150.00000;2.92007;1
185.17640; 31.02500;    -0.34961;100.00000;150.00000;2.92004;1
185.21893; 31.03350;    -0.34953;100.00000;150.00000;2.92001;1
185.26145; 31.04200;    -0.34960;100.00000;150.00000;2.91998;1
185.30399; 31.05050;    -0.34959;100.00000;150.00000;2.91996;1
185.34652; 31.05900;    -0.34958;100.00000;150.00000;2.91993;1
185.38901; 31.06750;    -0.34964;100.00000;150.00000;2.91990;1
185.43152; 31.07600;    -0.34970;100.00000;150.00000;2.91987;1
185.47403; 31.08450;    -0.34983;100.00000;150.00000;2.91984;1
185.51656; 31.09300;    -0.34981;100.00000;150.00000;2.91981;1
185.55912; 31.10150;    -0.35001;100.00000;150.00000;2.91979;1
185.60165; 31.11000;    -0.35007;100.00000;150.00000;2.91976;1
185.64417; 31.11850;    -0.35007;100.00000;150.00000;2.91973;1
185.68670; 31.12700;    -0.35007;100.00000;150.00000;2.91970;1
185.72923; 31.13550;    -0.35021;100.00000;150.00000;2.91967;1
185.77175; 31.14400;    -0.35018;100.00000;150.00000;2.91964;1
185.81426; 31.15250;    -0.35016;100.00000;150.00000;2.91961;1
185.85679; 31.16100;    -0.35054;100.00000;150.00000;2.91959;1
185.89931; 31.16950;    -0.35052;100.00000;150.00000;2.91956;1
185.94185; 31.17800;    -0.35042;100.00000;150.00000;2.91953;1
185.98437; 31.18650;    -0.35027;100.00000;150.00000;2.91950;1
186.02689; 31.19500;    -0.35033;100.00000;150.00000;2.91947;1
186.06940; 31.20350;    -0.35046;100.00000;150.00000;2.91944;1
186.11193; 31.21200;    -0.35045;100.00000;150.00000;2.91941;1
186.15445; 31.22050;    -0.35029;100.00000;150.00000;2.91938;1
186.19698; 31.22900;    -0.35034;100.00000;150.00000;2.91935;1
186.23946; 31.23750;    -0.35033;100.00000;150.00000;2.91933;1
186.28198; 31.24600;    -0.35030;100.00000;150.00000;2.91930;1
186.32451; 31.25450;    -0.35027;100.00000;150.00000;2.91927;1
186.36704; 31.26300;    -0.35041;100.00000;150.00000;2.91924;1
186.40958; 31.27150;    -0.35040;100.00000;150.00000;2.91921;1
186.45212; 31.28000;    -0.35033;100.00000;150.00000;2.91918;1
186.49467; 31.28850;    -0.35032;100.00000;150.00000;2.91915;1
186.53724; 31.29700;    -0.35038;100.00000;150.00000;2.91912;1
186.57978; 31.30550;    -0.35044;100.00000;150.00000;2.91909;1
186.62232; 31.31400;    -0.35050;100.00000;150.00000;2.91906;1
186.66484; 31.32250;    -0.35069;100.00000;150.00000;2.91903;1
186.70736; 31.33100;    -0.35081;100.00000;150.00000;2.91900;1
186.74991; 31.33950;    -0.35087;100.00000;150.00000;2.91897;1
186.79246; 31.34800;    -0.35099;100.00000;150.00000;2.91894;1
186.83500; 31.35650;    -0.35160;100.00000;150.00000;2.91891;1
186.87751; 31.36500;    -0.35140;100.00000;150.00000;2.91888;1
186.92004; 31.37350;    -0.35119;100.00000;150.00000;2.91885;1
186.96257; 31.38200;    -0.35125;100.00000;150.00000;2.91882;1
187.00511; 31.39050;    -0.35124;100.00000;150.00000;2.91879;1
187.04767; 31.39900;    -0.35123;100.00000;150.00000;2.91876;1
187.09021; 31.40750;    -0.35129;100.00000;150.00000;2.91873;1
187.13274; 31.41600;    -0.35140;100.00000;150.00000;2.91870;1
187.17529; 31.42450;    -0.35162;100.00000;150.00000;2.91867;1
187.21780; 31.43300;    -0.35160;100.00000;150.00000;2.91864;1
187.26030; 31.44150;    -0.35128;100.00000;150.00000;2.91861;1
187.30281; 31.45000;    -0.35139;100.00000;150.00000;2.91858;1
187.34533; 31.45850;    -0.35131;100.00000;150.00000;2.91855;1
187.38785; 31.46700;    -0.35139;100.00000;150.00000;2.91852;1
187.43040; 31.47550;    -0.35146;100.00000;150.00000;2.91849;1
187.47294; 31.48400;    -0.35156;100.00000;150.00000;2.91846;1
187.51544; 31.49250;    -0.35139;100.00000;150.00000;2.91843;1
187.55793; 31.50100;    -0.35140;100.00000;150.00000;2.91840;1
187.60042; 31.50950;    -0.35155;100.00000;150.00000;2.91837;1
187.64292; 31.51800;    -0.35159;100.00000;150.00000;2.91834;1
